model_name,subtask,is_binary,accuracy,macro_f1,macro_precision,macro_recall,matthews_corrcoef,roc_auc,avg_precision,baseline_f1,improvement,beats_baseline,accuracy_ci_lower,accuracy_ci_upper,macro_f1_ci_lower,macro_f1_ci_upper,macro_precision_ci_lower,macro_precision_ci_upper,macro_recall_ci_lower,macro_recall_ci_upper,matthews_corrcoef_ci_lower,matthews_corrcoef_ci_upper,roc_auc_ci_lower,roc_auc_ci_upper,class_0_precision,class_0_recall,class_0_f1_score,class_0_support,class_1_precision,class_1_recall,class_1_f1_score,class_1_support,class_2_precision,class_2_recall,class_2_f1_score,class_2_support,class_3_precision,class_3_recall,class_3_f1_score,class_3_support
train-c2a-moderngbert-baseline-v1,c2a,True,0.9349415204678363,0.8177406195968653,0.8126369741958289,0.823076923076923,0.6356281669758439,0.9359014946272565,0.7106574016226874,0.59,0.2277406195968653,True,,,,,,,,,,,,,0.9658536585365853,0.9619433198380567,0.963894523326572,1235,0.6594202898550725,0.6842105263157895,0.6715867158671587,133,,,,,,,,
train-c2a-moderngbert-v2-best-cw,c2a,True,0.9488304093567251,0.8481031933860805,0.8637258345649393,0.8341237709658762,0.6972214782765889,0.9341268150132417,0.7485155542098827,0.59,0.25810319338608056,True,,,,,,,,,,,,,0.967121090617482,0.9765182186234818,0.9717969379532635,1235,0.7603305785123967,0.6917293233082706,0.7244094488188977,133,,,,,,,,
train-c2a-moderngbert-best-v4-best-fl,c2a,True,0.9298245614035088,0.8137254901960784,0.7944259766507992,0.8370156159629843,0.6300036567400933,0.9373626373626373,0.74670528912249,0.59,0.22372549019607846,True,,,,,,,,,,,,,0.9694971145919209,0.9522267206477733,0.9607843137254902,1235,0.6193548387096774,0.7218045112781954,0.6666666666666666,133,,,,,,,,
train-dbo-moderngbert-baseline-v1,dbo,False,0.8799463447350772,0.6217480430882198,0.7442239858906525,0.5826599743194235,0.5636655400589381,,,0.47,0.15174804308821987,True,,,,,,,,,,,,,0.9349206349206349,0.9386454183266932,0.936779324055666,1255,0.6419753086419753,0.6459627329192547,0.6439628482972136,161,0.4,0.4126984126984127,0.40625,63.0,1.0,0.3333333333333333,0.5,12.0
train-dbo-moderngbert-v2-best-cw,dbo,False,0.8792756539235412,0.6676540650917904,0.712464993370426,0.6656284798693425,0.6001018392780567,,,0.47,0.1976540650917904,True,,,,,,,,,,,,,0.9513201320132013,0.9187250996015937,0.9347385488447507,1255,0.6063829787234043,0.7080745341614907,0.6532951289398281,161,0.4588235294117647,0.6190476190476191,0.527027027027027,63.0,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
train-dbo-moderngbert-best-v3-best-fl,dbo,False,0.8584842387659289,0.6192681850032714,0.6773084120735855,0.631946059791201,0.5355567844378741,,,0.47,0.14926818500327144,True,,,,,,,,,,,,,0.9404466501240695,0.9059760956175299,0.9228896103896104,1255,0.5828220858895705,0.5900621118012422,0.5864197530864198,161,0.38596491228070173,0.6984126984126984,0.4971751412429379,63.0,0.8,0.3333333333333333,0.47058823529411764,12.0
train-vio-moderngbert-baseline-v1,vio,True,0.9421965317919075,0.7400764208339516,0.8087786476598487,0.6996543524624323,0.49658433705767496,0.8889760498124679,0.5578686547069062,0.69,0.050076420833951696,True,,,,,,,,,,,,,0.955585464333782,0.9833795013850416,0.9692832764505119,1444,0.6619718309859155,0.415929203539823,0.5108695652173914,113,,,,,,,,
train-vio-moderngbert-v2-best-cw,vio,True,0.9402697495183044,0.7676809164346967,0.7811501920355771,0.7557148285245017,0.5362621491248785,0.8877135783100042,0.578279606370231,0.69,0.07768091643469677,True,,,,,,,,,,,,,0.9642611683848797,0.971606648199446,0.9679199724042773,1444,0.5980392156862745,0.5398230088495575,0.5674418604651162,113,,,,,,,,
train-vio-moderngbert-best-v3-best-fl,vio,True,0.9383429672447013,0.7612146307798482,0.7730365513281072,0.7505975289878166,0.5231530754422794,0.8902538425710294,0.5490542574032218,0.69,0.07121463077984824,True,,,,,,,,,,,,,0.9635488308115543,0.9702216066481995,0.9668737060041408,1444,0.5825242718446602,0.5309734513274337,0.5555555555555556,113,,,,,,,,
train-c2a-moderngbert-best-v3-best-fl-without-gamma,c2a,True,0.9334795321637427,0.8059553295726085,0.8136070853462158,0.7987854251012145,0.6122131207673418,0.8837356549267907,0.6748476997405154,0.59,0.21595532957260855,True,,,,,,,,,,,,,0.9605475040257649,0.965991902834008,0.9632620104965685,1235,0.6666666666666666,0.631578947368421,0.6486486486486487,133,,,,,,,,
