train/learning_rate,train/loss
0,1.6532
3.88e-06,0.6453
7.840000000000001e-06,0.3321
1.184e-05,0.2469
1.584e-05,0.2118
1.9840000000000003e-05,0.227
1.9943026706231456e-05,0.2148
1.9883679525222555e-05,0.2153
1.982433234421365e-05,0.1231
1.976498516320475e-05,0.1296
1.9705637982195846e-05,0.1023
1.9646290801186945e-05,0.1381
1.9586943620178044e-05,0.1188
1.952759643916914e-05,0.0966
1.9468249258160238e-05,0.0651
1.9408902077151337e-05,0.0298
1.9349554896142436e-05,0.0331
1.9290207715133532e-05,0.0429
1.923086053412463e-05,0.0441
1.917151335311573e-05,0.0277
1.911216617210683e-05,0.0393
1.9052818991097925e-05,0.0248
1.899347181008902e-05,0.0025
1.893412462908012e-05,0.0021
1.8874777448071218e-05,0.0036
1.8815430267062317e-05,0.0139
1.8756083086053413e-05,0.0201
1.8696735905044512e-05,0.0153
1.863738872403561e-05,0.006
1.8578041543026706e-05,0.0035
1.8518694362017805e-05,0.0386
1.8459347181008904e-05,0.0188
1.8400000000000003e-05,0.0183
1.83406528189911e-05,0.0087
1.8281305637982195e-05,0.0359
1.8221958456973294e-05,0.0354
1.8162611275964393e-05,0.0033
1.810326409495549e-05,0.0096
1.8043916913946587e-05,0.0126
1.7984569732937686e-05,0.018
1.7925222551928785e-05,0.0301
1.7865875370919884e-05,0.01
1.780652818991098e-05,0.0064
1.774718100890208e-05,0.0069
1.7687833827893178e-05,0.0008
1.7628486646884277e-05,0.0011
1.7569139465875373e-05,0.0135
1.7509792284866468e-05,0.0412
