train/learning_rate,train/loss
0,0.0777
4.8e-05,0.4155
4.701863354037267e-05,0.2901
4.391304347826087e-05,0.2349
4.080745341614907e-05,0.1918
3.770186335403727e-05,0.1091
3.4596273291925466e-05,0.1428
3.1490683229813666e-05,0.0847
2.8385093167701866e-05,0.0404
2.5527950310559006e-05,0.0203
2.2639751552795032e-05,0.0387
1.984472049689441e-05,0.0087
1.6925465838509316e-05,0.006
1.4006211180124224e-05,0.0086
1.1118012422360249e-05,0.0118
8.074534161490684e-06,0.0082
5.093167701863355e-06,0.0129
2.329192546583851e-06,0.0047
