train/learning_rate,train/loss
0,1.1924
5.76e-06,0.703
1.1760000000000001e-05,0.5779
1.77e-05,0.4666
2.37e-05,0.3981
2.97e-05,0.4054
2.9426790024135157e-05,0.3802
2.8823411102172166e-05,0.3912
2.822003218020917e-05,0.1963
2.761665325824618e-05,0.1938
2.7013274336283186e-05,0.2083
2.6409895414320192e-05,0.3159
2.58065164923572e-05,0.2105
2.520313757039421e-05,0.2517
2.4599758648431215e-05,0.1252
2.399637972646822e-05,0.0587
2.339300080450523e-05,0.0653
2.278962188254224e-05,0.029
2.2186242960579245e-05,0.0427
2.158286403861625e-05,0.0642
2.097948511665326e-05,0.0719
2.0376106194690265e-05,0.0283
1.9772727272727274e-05,0.012
1.9169348350764283e-05,0.0071
1.856596942880129e-05,0.008
1.7962590506838294e-05,0.005
1.73592115848753e-05,0.0109
1.6755832662912312e-05,0.033
1.6152453740949318e-05,0.045
1.5549074818986323e-05,0.0118
1.494569589702333e-05,0.0029
1.434231697506034e-05,0.011
1.3738938053097345e-05,0.0031
1.3135559131134354e-05,0.0013
1.253218020917136e-05,0.0037
1.1928801287208367e-05,0.0006
1.1325422365245374e-05,0.0004
1.0722043443282381e-05,0.0006
1.0118664521319389e-05,0.0259
9.515285599356396e-06,0.0028
8.911906677393403e-06,0.0005
8.30852775543041e-06,0.0007
7.705148833467418e-06,0.0006
7.101769911504425e-06,0.0009
6.4983909895414325e-06,0.0003
5.89501206757844e-06,0.0004
5.291633145615446e-06,0.0161
4.6882542236524535e-06,0.0008
4.084875301689461e-06,0.0008
3.481496379726468e-06,0.0186
2.8781174577634754e-06,0.0017
2.274738535800483e-06,0.0013
1.67135961383749e-06,0.0012
1.0679806918744973e-06,0.0008
4.646017699115044e-07,0.0046
