train/learning_rate,train/loss
0,1.7515
3.88e-06,1.2147
7.88e-06,0.5587
1.188e-05,0.4462
1.588e-05,0.4148
1.9880000000000003e-05,0.3917
1.9947282608695652e-05,0.4196
1.9892934782608696e-05,0.3561
1.9838586956521742e-05,0.2655
1.9784239130434783e-05,0.308
1.972989130434783e-05,0.2779
1.967554347826087e-05,0.2658
1.9621195652173913e-05,0.2414
1.956684782608696e-05,0.2689
1.95125e-05,0.2447
1.9458152173913047e-05,0.2822
1.940380434782609e-05,0.1004
1.934945652173913e-05,0.0928
1.9295108695652177e-05,0.1252
1.9240760869565217e-05,0.1224
1.918641304347826e-05,0.0738
1.9132065217391308e-05,0.0923
1.9077717391304348e-05,0.1223
1.9023369565217395e-05,0.0576
1.8969565217391307e-05,0.0423
1.891521739130435e-05,0.0398
1.886086956521739e-05,0.0452
1.8806521739130438e-05,0.0554
1.8752173913043478e-05,0.0433
1.8697826086956525e-05,0.0706
1.8643478260869568e-05,0.065
1.8589130434782608e-05,0.0288
1.8534782608695655e-05,0.0317
1.8480434782608695e-05,0.0424
1.8426086956521742e-05,0.071
1.8371739130434785e-05,0.0596
1.8317391304347826e-05,0.044
1.8263043478260872e-05,0.0642
1.8208695652173916e-05,0.0365
1.8154347826086956e-05,0.0235
1.8100000000000003e-05,0.041
1.8045652173913043e-05,0.0507
1.799130434782609e-05,0.0384
1.7936956521739133e-05,0.0355
1.7883152173913046e-05,0.0524
1.7828804347826086e-05,0.0455
1.7774456521739133e-05,0.0213
1.7720108695652176e-05,0.0298
1.766576086956522e-05,0.0351
1.7611413043478263e-05,0.023
1.7557065217391303e-05,0.0165
1.750271739130435e-05,0.0345
1.7448369565217394e-05,0.0245
1.7394021739130437e-05,0.0184
1.733967391304348e-05,0.0232
1.7285326086956524e-05,0.0227
1.7230978260869568e-05,0.0185
1.717663043478261e-05,0.026
1.712228260869565e-05,0.0205
1.7067934782608698e-05,0.0298
1.701358695652174e-05,0.0237
1.6959239130434785e-05,0.0133
1.690489130434783e-05,0.023
1.685054347826087e-05,0.0246
1.6796195652173915e-05,0.0573
1.674184782608696e-05,0.0689
1.6687500000000002e-05,0.0608
1.6633152173913046e-05,0.0456
1.6578804347826086e-05,0.0537
1.6524456521739133e-05,0.025
1.6470108695652176e-05,0.0177
1.641576086956522e-05,0.0165
1.6361413043478263e-05,0.0285
1.6307065217391303e-05,0.0277
1.625271739130435e-05,0.0245
1.6198369565217394e-05,0.0295
1.6144021739130434e-05,0.02
1.608967391304348e-05,0.013
1.6035326086956524e-05,0.0173
1.5980978260869568e-05,0.0315
1.592663043478261e-05,0.0229
1.587228260869565e-05,0.0194
1.5817934782608698e-05,0.0195
1.576358695652174e-05,0.0138
1.5709239130434785e-05,0.0182
1.565489130434783e-05,0.0091
1.560054347826087e-05,0.0213
1.5546195652173916e-05,0.0159
1.549184782608696e-05,0.0191
1.54375e-05,0.0306
1.5383152173913046e-05,0.022
1.5328804347826086e-05,0.0214
1.5274456521739133e-05,0.0215
1.5220108695652176e-05,0.0165
1.5165760869565218e-05,0.025
1.5111413043478262e-05,0.0255
1.5057065217391305e-05,0.0133
1.5002717391304349e-05,0.0173
1.4948369565217394e-05,0.0248
1.4894021739130436e-05,0.0126
1.483967391304348e-05,0.0212
1.4785869565217392e-05,0.0232
1.4731521739130437e-05,0.0271
1.4677173913043479e-05,0.0159
1.4622826086956524e-05,0.022
1.4568478260869567e-05,0.0209
1.4514130434782609e-05,0.0115
1.4459782608695654e-05,0.0132
1.4405434782608696e-05,0.0219
1.435108695652174e-05,0.0264
1.4296739130434785e-05,0.0195
1.4242391304347826e-05,0.0641
1.4188043478260872e-05,0.0399
1.4133695652173913e-05,0.0517
1.4079347826086957e-05,0.034
1.4025000000000002e-05,0.0352
1.3970652173913044e-05,0.0162
1.3916304347826089e-05,0.0206
1.386195652173913e-05,0.0305
1.3807608695652174e-05,0.0178
1.375326086956522e-05,0.0178
1.3699456521739132e-05,0.0404
1.3645108695652175e-05,0.0158
1.3590760869565219e-05,0.03
1.3536413043478262e-05,0.0163
1.3482065217391304e-05,0.0111
1.342771739130435e-05,0.0155
