train/learning_rate,train/loss
0,0.6844
2.8499999999999998e-05,1.0888
2.9011789181692096e-05,0.5911
2.7971567267683775e-05,0.599
2.6931345353675453e-05,0.366
2.589112343966713e-05,0.2373
2.4850901525658807e-05,0.2014
2.3810679611650485e-05,0.3473
2.2770457697642164e-05,0.1795
2.1730235783633842e-05,0.0869
2.069001386962552e-05,0.0734
1.96497919556172e-05,0.0729
1.8609570041608874e-05,0.0461
1.7569348127600553e-05,0.0307
1.6529126213592234e-05,0.0331
1.5488904299583913e-05,0.0272
1.444868238557559e-05,0.0121
1.3408460471567268e-05,0.0218
1.2368238557558946e-05,0.0169
1.1328016643550625e-05,0.0163
1.0287794729542303e-05,0.0084
9.24757281553398e-06,0.0086
8.207350901525659e-06,0.0132
7.167128987517337e-06,0.0125
6.1269070735090154e-06,0.0111
5.086685159500694e-06,0.0063
4.0464632454923715e-06,0.0098
3.00624133148405e-06,0.0079
1.9660194174757284e-06,0.0067
9.257975034674064e-07,0.0078
