train/learning_rate,train/loss
0,2.3687
1.9200000000000003e-05,1.2043
3.9000000000000006e-05,0.9168
5.88e-05,0.9225
7.88e-05,0.895
9.88e-05,0.8597
9.708978328173375e-05,0.8495
9.39938080495356e-05,0.783
9.089783281733747e-05,0.6299
8.780185758513932e-05,0.5957
8.470588235294118e-05,0.6056
8.160990712074303e-05,0.6164
7.85139318885449e-05,0.5084
7.541795665634675e-05,0.5547
7.232198142414862e-05,0.4514
6.922600619195047e-05,0.4774
6.613003095975232e-05,0.191
6.303405572755418e-05,0.3149
5.993808049535604e-05,0.2851
5.68421052631579e-05,0.3147
5.374613003095975e-05,0.1283
5.0650154798761616e-05,0.1958
4.755417956656347e-05,0.224
4.4458204334365326e-05,0.11
4.1362229102167184e-05,0.0885
3.826625386996904e-05,0.041
3.51702786377709e-05,0.0518
3.207430340557276e-05,0.0706
2.8978328173374613e-05,0.0429
2.5882352941176475e-05,0.1352
2.278637770897833e-05,0.0954
1.9690402476780188e-05,0.0376
1.6594427244582046e-05,0.031
1.3498452012383903e-05,0.0356
1.040247678018576e-05,0.0512
7.306501547987617e-06,0.0501
4.210526315789474e-06,0.0433
1.1145510835913315e-06,0.0479
