train/learning_rate,train/loss
0,0.6352
3.920000000000001e-06,0.3747
7.92e-06,0.2323
1.188e-05,0.1897
1.588e-05,0.2356
1.9880000000000003e-05,0.208
1.9949544863459037e-05,0.1934
1.9897529258777635e-05,0.1779
1.984551365409623e-05,0.1676
1.9793498049414825e-05,0.077
1.974148244473342e-05,0.1121
1.9689466840052016e-05,0.1041
1.9637451235370614e-05,0.0852
1.958543563068921e-05,0.094
1.9533420026007804e-05,0.0885
1.94814044213264e-05,0.0847
1.9429388816644994e-05,0.0533
1.937737321196359e-05,0.022
1.9325357607282188e-05,0.009
1.927334200260078e-05,0.0234
1.9221326397919378e-05,0.017
1.9169310793237973e-05,0.0298
1.9117295188556568e-05,0.0228
1.9065279583875163e-05,0.0364
1.901326397919376e-05,0.0104
1.8961248374512357e-05,0.0139
1.8909232769830952e-05,0.0115
1.8857217165149547e-05,0.0226
1.8805201560468142e-05,0.0024
1.8753185955786737e-05,0.0128
1.8701170351105332e-05,0.0034
1.864915474642393e-05,0.0063
1.8597139141742522e-05,0.0139
1.8545643693107933e-05,0.0174
1.8493628088426528e-05,0.0066
1.8441612483745127e-05,0.0031
1.8389596879063722e-05,0.0079
1.8337581274382317e-05,0.0105
1.8285565669700912e-05,0.0037
1.8233550065019507e-05,0.0111
1.8181534460338105e-05,0.002
1.8129518855656697e-05,0.0007
1.8077503250975296e-05,0.0126
1.8025487646293887e-05,0.0029
1.7973472041612486e-05,0.0006
1.792145643693108e-05,0.0008
1.7869440832249676e-05,0.0004
1.781742522756827e-05,0.0001
1.7765409622886866e-05,0
1.7713394018205465e-05,0.0003
1.766137841352406e-05,0
1.7609362808842655e-05,0.0001
1.755734720416125e-05,0
1.7505331599479845e-05,0
1.745331599479844e-05,0.0001
1.740130039011704e-05,0
1.734928478543563e-05,0
1.729726918075423e-05,0
1.7245253576072824e-05,0
1.719323797139142e-05,0
1.7141222366710014e-05,0
1.708920676202861e-05,0
1.7037191157347207e-05,0
1.69851755526658e-05,0
1.6933159947984398e-05,0
1.6881144343302993e-05,0
1.6829128738621588e-05,0
1.6777113133940183e-05,0
1.6725097529258778e-05,0
1.6673081924577373e-05,0
1.662106631989597e-05,0
1.6569050715214567e-05,0
1.651703511053316e-05,0
1.6465019505851757e-05,0
1.6413003901170352e-05,0
1.636098829648895e-05,0
1.6308972691807542e-05,0
1.625695708712614e-05,0
1.6204941482444732e-05,0
1.615292587776333e-05,0
1.6100910273081926e-05,0
1.604889466840052e-05,0
1.5996879063719116e-05,0
1.594486345903771e-05,0
1.589284785435631e-05,0
1.5840832249674904e-05,0
1.57888166449935e-05,0
1.5736801040312095e-05,0
1.568478543563069e-05,0
1.5632769830949285e-05,0
1.5580754226267883e-05,0
1.5528738621586475e-05,0
1.5476723016905073e-05,0
1.542470741222367e-05,0
1.5372691807542264e-05,0
1.532067620286086e-05,0
1.5268660598179454e-05,0
1.521664499349805e-05,0
1.5164629388816646e-05,0
1.5112613784135242e-05,0
1.5060598179453837e-05,0
1.5008582574772432e-05,0
