subtask,method,epoch,f1_macro,eval_loss
C2A,Baseline,1,0.7255306603773585,0.18837247788906097
C2A,Baseline,2,0.8177406195968653,0.1949620395898819
C2A,Baseline,3,0.7850335116522167,0.2603301405906677
C2A,Baseline,4,0.7854671918673837,0.4307534694671631
C2A,Baseline,5,0.7842896218825423,0.24760974943637848
C2A,Baseline,6,0.7569756047243282,0.3747836947441101
C2A,Baseline,7,0.7973872187494981,0.32538267970085144
C2A,CWCE,1,0.746076146076146,0.30919376015663147
C2A,CWCE,2,0.746076146076146,0.30694589018821716
C2A,CWCE,3,0.8217870257037944,0.58295077085495
C2A,CWCE,4,0.8481031933860805,0.8734988570213318
C2A,CWCE,5,0.8103673794358508,1.313076138496399
C2A,CWCE,6,0.8401442307692308,1.2343556880950928
C2A,CWCE,7,0.8401442307692308,1.2704272270202637
C2A,CWCE,8,0.8401442307692308,1.2754931449890137
C2A,CW+FL,1,0.590913555670515,0.2787972092628479
C2A,CW+FL,2,0.7696652431464389,0.23770174384117126
C2A,CW+FL,3,0.8122284069934744,0.6282221674919128
C2A,CW+FL,4,0.8137254901960784,0.4783448278903961
C2A,CW+FL,5,0.8137254901960784,0.47819241881370544
DBO,Baseline,1,0.40767792068091724,0.35631176829338074
DBO,Baseline,2,0.5574585679492733,0.3174731433391571
DBO,Baseline,3,0.5838630913416099,0.4173220992088318
DBO,Baseline,4,0.5285917089757256,0.566550612449646
DBO,Baseline,5,0.5983413837023828,0.5504063367843628
DBO,Baseline,6,0.6121062367403738,0.5561545491218567
DBO,Baseline,7,0.5869070915668775,0.6871834993362427
DBO,Baseline,8,0.5959746925286054,0.7365450859069824
DBO,Baseline,9,0.6051059569268087,0.6366615295410156
DBO,Baseline,10,0.6137946256777858,0.6795764565467834
DBO,Baseline,11,0.6165378714421514,0.7174118757247925
DBO,Baseline,12,0.6213443144317746,0.7740872502326965
DBO,Baseline,13,0.5948765850656026,0.8128243684768677
DBO,Baseline,14,0.5616393178893179,0.8428345918655396
DBO,Baseline,15,0.5559259871050718,0.9249840974807739
DBO,Baseline,16,0.61853668827591,0.7938854694366455
DBO,Baseline,17,0.6118694387078777,0.8319110870361328
DBO,CWCE,1,0.5558538661436933,0.9871971011161804
DBO,CWCE,2,0.5951568055997067,0.7347677946090698
DBO,CWCE,3,0.5908332819441882,1.1624666452407837
DBO,CWCE,4,0.6676540650917904,0.9607391953468323
DBO,CWCE,5,0.6516243529875808,1.2110052108764648
DBO,CW+FL,1,0.5322413990031145,0.38036251068115234
DBO,CW+FL,2,0.5140828239139739,0.4423455595970154
DBO,CW+FL,3,0.5403000664510258,0.9353736639022827
DBO,CW+FL,4,0.6192681850032714,0.9025244116783142
DBO,CW+FL,5,0.5996782973049826,1.168479084968567
DBO,CW+FL,6,0.6018114269353482,1.3431349992752075
DBO,CW+FL,7,0.565758673233133,1.4971303939819336
DBO,CW+FL,8,0.5659367010420838,1.5185166597366333
VIO,Baseline,1,0.6484820828129503,0.1735576093196869
VIO,Baseline,2,0.6924927184920158,0.21255546808242798
VIO,Baseline,3,0.7121054802508996,0.33754798769950867
VIO,Baseline,4,0.7386691558403317,0.3890446424484253
VIO,Baseline,5,0.7305730812229622,0.40417981147766113
VIO,Baseline,6,0.736234808180979,0.46694764494895935
VIO,Baseline,7,0.737399367344797,0.4743678867816925
VIO,Baseline,8,0.7442665608592547,0.48983219265937805
VIO,Baseline,9,0.7442665608592547,0.5027251243591309
VIO,Baseline,10,0.7442665608592547,0.5167195796966553
VIO,Baseline,11,0.7442665608592547,0.5311746001243591
VIO,Baseline,12,0.7442665608592547,0.546107828617096
VIO,Baseline,13,0.7411395654326582,0.5616740584373474
VIO,CWCE,1,0.7165520200772402,0.5517967343330383
VIO,CWCE,2,0.7562399355877616,0.6603856682777405
VIO,CWCE,3,0.7676809164346967,1.0066206455230713
VIO,CW+FL,1,0.7612146307798482,0.404788613319397
VIO,CW+FL,2,0.7261416124097463,0.46527618169784546
VIO,CW+FL,3,0.7458600427350428,0.6207631826400757
